taxon	phylum	class	order	genus	species
NC_007798.1	Proteobacteria	Alphaproteobacteria	Rickettsiales	Neorickettsia	Neorickettsia sennetsu
NZ_CP015994.1	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasma	Anaplasma ovis
NZ_CP027845.1	Proteobacteria	Alphaproteobacteria	Rickettsiales	Phycorickettsia	Phycorickettsia trachydisci
NZ_CP027226.1	Firmicutes_A	Clostridia	Saccharofermentanales	Fastidiosipila	Fastidiosipila sanguinis
NZ_CP019633.1	Planctomycetota	Phycisphaerae	Sedimentisphaerales	Sedimentisphaera	Sedimentisphaera cyanobacteriorum
NZ_CP017042.1	Firmicutes_C	Negativicutes	Selenomonadales	Centipeda	Centipeda sp001717585
NZ_CP042430.1	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Baekduia	Baekduia soli
NC_016633.1	Spirochaetota	Spirochaetia	Sphaerochaetales	Sphaerochaeta	Sphaerochaeta pleomorpha
NZ_CP016033.1	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacter	Erythrobacter neustonensis
NZ_CP016757.1	Synergistota	Synergistia	Synergistales	Cloacibacillus	Cloacibacillus porcorum
NZ_CP014606.1	Firmicutes_B	TC1	TC1	TC1	TC1 sp001584725
NZ_CP042829.1	Chloroflexota	Dehalococcoidia	Tepidiformales	Tepidiforma	Tepidiforma bonchosmolovskayae
NZ_AP014945.1	Desulfobacterota	Thermodesulfobacteria	Thermodesulfobacteriales	Caldimicrobium	Caldimicrobium thiodismutans
NZ_CP020921.1	Thermodesulfobiota	Thermodesulfobiia	Thermodesulfobiales	Thermodesulfobium	Thermodesulfobium acidiphilum
NC_011296.1	Nitrospirota	Thermodesulfovibrionia	Thermodesulfovibrionales	Thermodesulfovibrio	Thermodesulfovibrio yellowstonii
NC_011959.1	Chloroflexota	Chloroflexia	Thermomicrobiales	Thermomicrobium	Thermomicrobium roseum
NZ_LR698969.1	Firmicutes_A	Clostridia	Tissierellales	Murdochiella	Murdochiella vaginalis
NC_000919.1	Spirochaetota	Spirochaetia	Treponematales	Treponema	Treponema pallidum
NC_018020.1	Spirochaetota	Leptospirae	Turneriellales	Turneriella	Turneriella parva
NZ_CP047901.1	Patescibacteria	Microgenomatia	UBA1400	Chazhemtobacterium	Chazhemtobacterium aquaticus
NZ_CP019384.1	Omnitrophota	Koll11	UBA1572	Vampirococcus_B	Vampirococcus_B archaeovorus
NZ_CP051774.1	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Haloferula	Haloferula lutea
NZ_CP015136.1	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Luteitalea	Luteitalea pratensis
NZ_CP052855.1	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xylella	Xylella fastidiosa
